Time [min];Reflectance_590;PulseNumber
2;7757;1
4;8369;2
6;8754;3
8;8905;4
10;8860;5
12;8573;6
14;8158;7
16;7703;8
18;7458;9
20;7552;10
22;7882;11
24;8317;12
26;8722;13
28;9111;14
30;9492;15
32;9696;16
34;9757;17
36;9665;18
38;9435;19
40;9025;20
42;8530;21
44;8001;22
46;7629;23
48;7627;24
50;7838;25
52;8178;26
54;8526;27
56;8874;28
58;9242;29
60;9456;30
62;9476;31
64;9372;32
66;9154;33
68;8782;34
70;8318;35
72;7774;36
74;7374;37
76;7397;38
78;7585;39
80;7909;40
82;8242;41
84;8598;42
86;8950;43
88;9186;44
90;9261;45
92;9164;46
94;8944;47
96;8606;48
98;8123;49
100;7597;50
102;7188;51
104;7173;52
106;7344;53
108;7673;54
110;8028;55
112;8388;56
114;8761;57
116;9030;58
118;9088;59
120;9022;60
122;8852;61
124;8489;62
126;8014;63
128;7518;64
130;7069;65
132;7050;66
134;7248;67
136;7572;68
138;7918;69
140;8219;70
142;8400;71
144;8552;72
146;8676;73
148;8777;74
150;8840;75
152;8907;76
154;8986;77
156;9048;78
158;8780;79
160;8454;80
162;8210;81
164;8036;82
166;8005;83
168;8138;84
170;8300;85
172;8298;86
174;8190;87
176;7903;88
178;7490;89
180;6880;90
182;6193;91
184;5530;92
186;5570;93
188;5732;94
190;6108;95
192;6534;96
194;6943;97
196;7400;98
198;7837;99
200;8030;100
202;8036;101
204;7869;102
206;7534;103
208;6959;104
210;6334;105
212;5665;106
214;5686;107
216;5862;108
218;6281;109
220;6722;110
222;7171;111
224;7657;112
226;8090;113
228;8271;114
230;8303;115
232;8170;116
234;7826;117
236;7251;118
238;6621;119
240;5878;120
242;5882;121
244;6070;122
246;6480;123
248;6924;124
250;7380;125
252;7849;126
254;8300;127
256;8502;128
258;8506;129
260;8346;130
262;8007;131
264;7442;132
266;6806;133
268;6057;134
270;6044;135
272;6173;136
274;6574;137
276;7050;138
278;7488;139
280;7941;140
282;8415;141
284;8613;142
286;8635;143
288;8501;144
290;8171;145
292;7561;146
294;6928;147
296;6178;148
298;6084;149
300;6214;150
302;6650;151
304;7070;152
306;7528;153
308;8000;154
310;8473;155
312;8682;156
314;8712;157
316;8775;158
318;8826;159
320;8913;160
322;8976;161
324;9023;162
326;9082;163
328;9132;164
330;9174;165
