Time [min];Reflectance_590;PulseNumber
2;8798;1
4;8796;2
6;8605;3
8;8412;4
10;8116;5
12;7678;6
14;6839;7
16;6422;8
18;6450;9
20;6664;10
22;6974;11
24;7317;12
26;7654;13
28;8018;14
30;8274;15
32;8346;16
34;8282;17
36;8072;18
38;7673;19
40;7136;20
42;6466;21
44;6135;22
46;6298;23
48;6590;24
50;6956;25
52;7342;26
54;7749;27
56;8137;28
58;8420;29
60;8520;30
62;8474;31
64;8256;32
66;7873;33
68;7323;34
70;6642;35
72;6264;36
74;6442;37
76;6720;38
78;7110;39
80;7516;40
82;7874;41
84;8266;42
86;8558;43
88;8651;44
90;8600;45
92;8428;46
94;8008;47
96;7454;48
98;6797;49
100;6316;50
102;6532;51
104;6818;52
106;7209;53
108;7584;54
110;7994;55
112;8361;56
114;8669;57
116;8775;58
118;8709;59
120;8496;60
122;8125;61
124;7573;62
126;6905;63
128;6373;64
130;6590;65
132;6848;66
134;7234;67
136;7626;68
138;7948;69
140;8143;70
142;8282;71
144;8440;72
146;8564;73
148;8650;74
150;8757;75
152;8826;76
154;8912;77
156;8966;78
158;9044;79
160;9109;80
162;9153;81
164;9198;82
166;9268;83
168;9297;84
170;9312;85
172;9366;86
