Time [min],Reflectance_590,PulseNumber
2.00833,1161.00000,1.0
4.01667,1164.00000,2.0
6.02500,1171.00000,3.0
8.03333,1169.00000,4.0
10.04167,1165.00000,5.0
12.05000,1163.00000,6.0
14.05833,1162.00000,7.0
16.06667,1164.00000,8.0
18.07500,1165.00000,9.0
20.08333,1164.00000,10.0
22.09167,1166.00000,11.0
24.10000,1166.00000,12.0
26.10833,1166.00000,13.0
28.11667,1167.00000,14.0
30.12500,1166.00000,15.0
32.13333,1166.00000,16.0
34.14167,1168.00000,17.0
36.15000,1171.00000,18.0
38.15833,1168.00000,19.0
40.16667,1169.00000,20.0
42.17500,1167.00000,21.0
44.18333,1165.00000,22.0
46.19167,1172.00000,23.0
48.20000,1170.00000,24.0
50.20833,1170.00000,25.0
52.21667,1169.00000,26.0
54.22500,1167.00000,27.0
56.23333,1165.00000,28.0
58.24167,1170.00000,29.0
60.25000,1170.00000,30.0
62.25833,1167.00000,31.0
64.26667,1170.00000,32.0
66.27500,1169.00000,33.0
68.28333,1157.00000,34.0
70.29167,1168.00000,35.0
72.30000,1166.00000,36.0
74.30833,1168.00000,37.0
76.31667,1170.00000,38.0
78.32500,1167.00000,39.0
80.33333,1168.00000,40.0
82.34167,1170.00000,41.0
84.35000,1172.00000,42.0
86.35833,1168.00000,43.0
88.36667,1166.00000,44.0
90.37500,1172.00000,45.0
92.38333,1173.00000,46.0
94.39167,1172.00000,47.0
96.40000,1166.00000,48.0
98.40833,1170.00000,49.0
100.41667,1173.00000,50.0
102.42500,1170.00000,51.0
104.43333,1166.00000,52.0
106.44167,1160.00000,53.0
108.45000,1176.00000,54.0
110.45833,1170.00000,55.0
112.46667,1170.00000,56.0
114.47500,1173.00000,57.0
116.48333,1173.00000,58.0
118.49167,1170.00000,59.0
120.50000,1172.00000,60.0
