Time [min]   Reflectance_590  PulseNumber 
2.00000      9036.00000       1.0         
4.00000      9174.00000       2.0         
6.00000      9194.00000       3.0         
8.00000      9082.00000       4.0         
10.00000     8904.00000       5.0         
12.00000     8552.00000       6.0         
14.00000     7996.00000       7.0         
16.00000     7730.00000       8.0         
18.00000     7758.00000       9.0         
20.00000     7961.00000       10.0        
22.00000     8220.00000       11.0        
24.00000     8510.00000       12.0        
26.00000     8809.00000       13.0        
28.00000     9104.00000       14.0        
30.00000     9232.00000       15.0        
32.00000     9266.00000       16.0        
34.00000     9168.00000       17.0        
36.00000     8954.00000       18.0        
38.00000     8618.00000       19.0        
40.00000     8218.00000       20.0        
42.00000     7750.00000       21.0        
44.00000     7526.00000       22.0        
46.00000     7593.00000       23.0        
48.00000     7804.00000       24.0        
50.00000     8104.00000       25.0        
52.00000     8420.00000       26.0        
54.00000     8676.00000       27.0        
56.00000     8981.00000       28.0        
58.00000     9133.00000       29.0        
60.00000     9144.00000       30.0        
62.00000     9062.00000       31.0        
64.00000     8856.00000       32.0        
66.00000     8502.00000       33.0        
68.00000     8096.00000       34.0        
70.00000     7629.00000       35.0        
72.00000     7360.00000       36.0        
74.00000     7414.00000       37.0        
76.00000     7640.00000       38.0        
78.00000     7935.00000       39.0        
80.00000     8226.00000       40.0        
82.00000     8530.00000       41.0        
84.00000     8851.00000       42.0        
86.00000     9020.00000       43.0        
88.00000     9058.00000       44.0        
90.00000     8977.00000       45.0        
92.00000     8786.00000       46.0        
94.00000     8455.00000       47.0        
96.00000     8079.00000       48.0        
98.00000     7633.00000       49.0        
100.00000    7352.00000       50.0        
102.00000    7424.00000       51.0        
104.00000    7642.00000       52.0        
106.00000    7913.00000       53.0        
108.00000    8242.00000       54.0        
110.00000    8536.00000       55.0        
112.00000    8842.00000       56.0        
114.00000    9023.00000       57.0        
116.00000    9070.00000       58.0        
118.00000    9017.00000       59.0        
120.00000    8871.00000       60.0        
122.00000    8552.00000       61.0        
124.00000    8158.00000       62.0        
126.00000    7696.00000       63.0        
128.00000    7397.00000       64.0        
130.00000    7432.00000       65.0        
132.00000    7647.00000       66.0        
134.00000    7942.00000       67.0        
136.00000    8250.00000       68.0        
138.00000    8476.00000       69.0        
140.00000    8636.00000       70.0        
142.00000    8735.00000       71.0        
144.00000    8854.00000       72.0        
146.00000    8952.00000       73.0        
148.00000    8980.00000       74.0        
150.00000    8947.00000       75.0        
152.00000    8972.00000       76.0        
154.00000    8980.00000       77.0        
156.00000    9022.00000       78.0        
158.00000    9056.00000       79.0        
160.00000    9102.00000       80.0        
162.00000    9129.00000       81.0        
164.00000    9150.00000       82.0        
166.00000    9179.00000       83.0        
168.00000    9194.00000       84.0        
170.00000    9239.00000       85.0        
172.00000    9252.00000       86.0        
