Time [min],Reflectance_590,PulseNumber
2.00000,10964.00000,1.0
4.00000,11009.00000,2.0
6.00000,11002.00000,3.0
8.00000,10996.00000,4.0
10.00000,10960.00000,5.0
12.00000,10856.00000,6.0
14.00000,10744.00000,7.0
16.00000,10605.00000,8.0
18.00000,10500.00000,9.0
20.00000,10466.00000,10.0
22.00000,10548.00000,11.0
24.00000,10642.00000,12.0
26.00000,10721.00000,13.0
28.00000,10821.00000,14.0
30.00000,10899.00000,15.0
32.00000,10951.00000,16.0
34.00000,10967.00000,17.0
36.00000,10978.00000,18.0
38.00000,10916.00000,19.0
40.00000,10837.00000,20.0
42.00000,10728.00000,21.0
44.00000,10572.00000,22.0
46.00000,10461.00000,23.0
48.00000,10458.00000,24.0
50.00000,10498.00000,25.0
52.00000,10581.00000,26.0
54.00000,10691.00000,27.0
56.00000,10784.00000,28.0
58.00000,10870.00000,29.0
60.00000,10938.00000,30.0
62.00000,10962.00000,31.0
64.00000,10940.00000,32.0
66.00000,10908.00000,33.0
68.00000,10836.00000,34.0
70.00000,10706.00000,35.0
72.00000,10576.00000,36.0
74.00000,10460.00000,37.0
76.00000,10430.00000,38.0
78.00000,10495.00000,39.0
80.00000,10582.00000,40.0
82.00000,10672.00000,41.0
84.00000,10750.00000,42.0
86.00000,10859.00000,43.0
88.00000,10932.00000,44.0
90.00000,10951.00000,45.0
92.00000,10950.00000,46.0
94.00000,10922.00000,47.0
96.00000,10842.00000,48.0
98.00000,10736.00000,49.0
100.00000,10594.00000,50.0
102.00000,10462.00000,51.0
104.00000,10441.00000,52.0
106.00000,10494.00000,53.0
108.00000,10567.00000,54.0
110.00000,10674.00000,55.0
112.00000,10784.00000,56.0
114.00000,10861.00000,57.0
116.00000,10948.00000,58.0
118.00000,10993.00000,59.0
120.00000,10962.00000,60.0
122.00000,10924.00000,61.0
124.00000,10860.00000,62.0
126.00000,10743.00000,63.0
128.00000,10593.00000,64.0
130.00000,10468.00000,65.0
132.00000,10447.00000,66.0
134.00000,10484.00000,67.0
136.00000,10578.00000,68.0
138.00000,10676.00000,69.0
140.00000,10770.00000,70.0
142.00000,10880.00000,71.0
144.00000,10952.00000,72.0
146.00000,10960.00000,73.0
148.00000,10972.00000,74.0
150.00000,10943.00000,75.0
152.00000,10859.00000,76.0
154.00000,10749.00000,77.0
156.00000,10625.00000,78.0
158.00000,10482.00000,79.0
160.00000,10454.00000,80.0
162.00000,10492.00000,81.0
164.00000,10584.00000,82.0
166.00000,10674.00000,83.0
168.00000,10745.00000,84.0
170.00000,10641.00000,85.0
172.00000,10354.00000,86.0
174.00000,10144.00000,87.0
176.00000,9984.00000,88.0
178.00000,9842.00000,89.0
180.00000,9726.00000,90.0
182.00000,9639.00000,91.0
184.00000,9572.00000,92.0
186.00000,9612.00000,93.0
188.00000,9649.00000,94.0
190.00000,9560.00000,95.0
192.00000,9422.00000,96.0
194.00000,9232.00000,97.0
196.00000,8947.00000,98.0
198.00000,8624.00000,99.0
200.00000,8293.00000,100.0
202.00000,7973.00000,101.0
204.00000,7858.00000,102.0
206.00000,7863.00000,103.0
208.00000,7980.00000,104.0
210.00000,8137.00000,105.0
212.00000,8328.00000,106.0
214.00000,8521.00000,107.0
216.00000,8671.00000,108.0
218.00000,8710.00000,109.0
220.00000,8652.00000,110.0
222.00000,8514.00000,111.0
224.00000,8302.00000,112.0
226.00000,8002.00000,113.0
228.00000,7692.00000,114.0
230.00000,7380.00000,115.0
232.00000,7298.00000,116.0
234.00000,7318.00000,117.0
236.00000,7454.00000,118.0
238.00000,7654.00000,119.0
240.00000,7876.00000,120.0
242.00000,8086.00000,121.0
244.00000,8302.00000,122.0
246.00000,8369.00000,123.0
248.00000,8333.00000,124.0
250.00000,8226.00000,125.0
252.00000,8032.00000,126.0
254.00000,7747.00000,127.0
256.00000,7449.00000,128.0
258.00000,7150.00000,129.0
260.00000,7048.00000,130.0
262.00000,7067.00000,131.0
264.00000,7221.00000,132.0
266.00000,7432.00000,133.0
268.00000,7650.00000,134.0
270.00000,7895.00000,135.0
272.00000,8114.00000,136.0
274.00000,8194.00000,137.0
276.00000,8183.00000,138.0
278.00000,8084.00000,139.0
280.00000,7893.00000,140.0
282.00000,7620.00000,141.0
284.00000,7336.00000,142.0
286.00000,7030.00000,143.0
288.00000,6938.00000,144.0
290.00000,6937.00000,145.0
292.00000,7088.00000,146.0
294.00000,7288.00000,147.0
296.00000,7530.00000,148.0
298.00000,7779.00000,149.0
300.00000,8002.00000,150.0
302.00000,8114.00000,151.0
304.00000,8113.00000,152.0
306.00000,8007.00000,153.0
308.00000,7850.00000,154.0
310.00000,7584.00000,155.0
312.00000,7286.00000,156.0
314.00000,6978.00000,157.0
316.00000,6876.00000,158.0
318.00000,6875.00000,159.0
320.00000,7015.00000,160.0
322.00000,7233.00000,161.0
324.00000,7464.00000,162.0
326.00000,7706.00000,163.0
328.00000,7953.00000,164.0
330.00000,8060.00000,165.0
332.00000,8047.00000,166.0
334.00000,7983.00000,167.0
336.00000,7806.00000,168.0
338.00000,7546.00000,169.0
340.00000,7268.00000,170.0
342.00000,6961.00000,171.0
344.00000,6839.00000,172.0
346.00000,6838.00000,173.0
348.00000,6982.00000,174.0
350.00000,7190.00000,175.0
352.00000,7420.00000,176.0
