Time [min],Reflectance_590,PulseNumber
2.00833,10008.00000,1.0
4.01667,10052.00000,2.0
6.02500,10082.00000,3.0
8.03333,10042.00000,4.0
10.04167,10002.00000,5.0
12.05000,9911.00000,6.0
14.05833,9809.00000,7.0
16.06667,9691.00000,8.0
18.07500,9607.00000,9.0
20.08333,9521.00000,10.0
22.09167,9506.00000,11.0
24.10000,9517.00000,12.0
26.10833,9554.00000,13.0
28.11667,9610.00000,14.0
30.12500,9707.00000,15.0
32.13333,9798.00000,16.0
34.14167,9827.00000,17.0
36.15000,9836.00000,18.0
38.15833,9785.00000,19.0
40.16667,9724.00000,20.0
42.17500,9621.00000,21.0
44.18333,9538.00000,22.0
46.19167,9427.00000,23.0
48.20000,9376.00000,24.0
50.20833,9357.00000,25.0
52.21667,9367.00000,26.0
54.22500,9424.00000,27.0
56.23333,9517.00000,28.0
58.24167,9591.00000,29.0
60.25000,9684.00000,30.0
62.25833,9732.00000,31.0
64.26667,9749.00000,32.0
66.27500,9715.00000,33.0
68.28333,9634.00000,34.0
70.29167,9537.00000,35.0
72.30000,9459.00000,36.0
74.30833,9366.00000,37.0
76.31667,9296.00000,38.0
78.32500,9303.00000,39.0
80.33333,9365.00000,40.0
82.34167,9440.00000,41.0
84.35000,9546.00000,42.0
86.35833,9658.00000,43.0
88.36667,9733.00000,44.0
90.37500,9826.00000,45.0
92.38333,9796.00000,46.0
94.39167,9738.00000,47.0
96.40000,9629.00000,48.0
98.40833,9551.00000,49.0
100.41667,9495.00000,50.0
102.42500,9366.00000,51.0
104.43333,9282.00000,52.0
106.44167,9272.00000,53.0
108.45000,9319.00000,54.0
110.45833,9359.00000,55.0
112.46667,9486.00000,56.0
114.47500,9544.00000,57.0
116.48333,9658.00000,58.0
118.49167,9746.00000,59.0
120.50000,9727.00000,60.0
122.50833,9692.00000,61.0
124.51667,9656.00000,62.0
126.52500,9535.00000,63.0
128.53333,9426.00000,64.0
130.54167,9349.00000,65.0
132.55000,9290.00000,66.0
134.55833,9270.00000,67.0
136.56667,9298.00000,68.0
138.57500,9365.00000,69.0
140.58333,9441.00000,70.0
142.59167,9562.00000,71.0
144.60000,9652.00000,72.0
146.60833,9716.00000,73.0
148.61667,9728.00000,74.0
150.62500,9684.00000,75.0
152.63333,9661.00000,76.0
154.64167,9639.00000,77.0
156.65000,9467.00000,78.0
158.65833,9364.00000,79.0
160.66667,9359.00000,80.0
162.67500,9340.00000,81.0
164.68333,9376.00000,82.0
166.69167,9486.00000,83.0
168.70000,9573.00000,84.0
