Time [min],Reflectance_590,PulseNumber
2.00833,6534.00000,1.0
4.01667,6525.00000,2.0
6.02500,6463.00000,3.0
8.03333,6370.00000,4.0
10.04167,6243.00000,5.0
12.05000,6112.00000,6.0
14.05833,5911.00000,7.0
16.06667,5740.00000,8.0
18.07500,5622.00000,9.0
20.08333,5556.00000,10.0
22.09167,5561.00000,11.0
24.10000,5602.00000,12.0
26.10833,5649.00000,13.0
28.11667,5702.00000,14.0
30.12500,5766.00000,15.0
32.13333,5788.00000,16.0
34.14167,5762.00000,17.0
36.15000,5711.00000,18.0
38.15833,5626.00000,19.0
40.16667,5498.00000,20.0
42.17500,5360.00000,21.0
44.18333,5213.00000,22.0
46.19167,5108.00000,23.0
48.20000,5072.00000,24.0
50.20833,5069.00000,25.0
52.21667,5135.00000,26.0
54.22500,5190.00000,27.0
56.23333,5254.00000,28.0
58.24167,5313.00000,29.0
60.25000,5378.00000,30.0
62.25833,5374.00000,31.0
64.26667,5340.00000,32.0
66.27500,5271.00000,33.0
68.28333,5154.00000,34.0
70.29167,5040.00000,35.0
72.30000,4914.00000,36.0
74.30833,4824.00000,37.0
76.31667,4784.00000,38.0
78.32500,4796.00000,39.0
80.33333,4846.00000,40.0
82.34167,4901.00000,41.0
84.35000,4973.00000,42.0
86.35833,5064.00000,43.0
88.36667,5105.00000,44.0
90.37500,5118.00000,45.0
92.38333,5086.00000,46.0
94.39167,5019.00000,47.0
96.40000,4934.00000,48.0
98.40833,4826.00000,49.0
100.41667,4701.00000,50.0
102.42500,4626.00000,51.0
104.43333,4606.00000,52.0
106.44167,4614.00000,53.0
108.45000,4667.00000,54.0
110.45833,4734.00000,55.0
112.46667,4799.00000,56.0
114.47500,4878.00000,57.0
116.48333,4926.00000,58.0
118.49167,4932.00000,59.0
120.50000,4918.00000,60.0
122.50833,4866.00000,61.0
124.51667,4777.00000,62.0
126.52500,4674.00000,63.0
128.53333,4569.00000,64.0
130.54167,4496.00000,65.0
132.55000,4474.00000,66.0
134.55833,4492.00000,67.0
136.56667,4532.00000,68.0
138.57500,4590.00000,69.0
140.58333,4664.00000,70.0
142.59167,4746.00000,71.0
144.60000,4768.00000,72.0
146.60833,4790.00000,73.0
148.61667,4778.00000,74.0
150.62500,4722.00000,75.0
152.63333,4660.00000,76.0
154.64167,4561.00000,77.0
156.65000,4450.00000,78.0
158.65833,4396.00000,79.0
160.66667,4349.00000,80.0
162.67500,4362.00000,81.0
164.68333,4414.00000,82.0
166.69167,3652.00000,83.0
168.70000,3370.00000,84.0
170.70833,3354.00000,85.0
172.71667,3398.00000,86.0
174.72500,3431.00000,87.0
176.73333,3452.00000,88.0
178.74167,3446.00000,89.0
180.75000,3408.00000,90.0
182.75833,3350.00000,91.0
184.76667,3278.00000,92.0
186.77500,3245.00000,93.0
188.78333,3241.00000,94.0
190.79167,3282.00000,95.0
192.80000,3339.00000,96.0
194.80833,3413.00000,97.0
196.81667,3505.00000,98.0
198.82500,3594.00000,99.0
200.83333,3658.00000,100.0
202.84167,3703.00000,101.0
204.85000,3716.00000,102.0
206.85833,3692.00000,103.0
208.86667,3632.00000,104.0
210.87500,3562.00000,105.0
212.88333,3462.00000,106.0
214.89167,3422.00000,107.0
216.90000,3419.00000,108.0
218.90833,3457.00000,109.0
220.91667,3523.00000,110.0
222.92500,3596.00000,111.0
224.93333,3676.00000,112.0
226.94167,3786.00000,113.0
228.95000,3860.00000,114.0
230.95833,3890.00000,115.0
232.96667,3895.00000,116.0
234.97500,3867.00000,117.0
236.98333,3801.00000,118.0
238.99167,3709.00000,119.0
241.00000,3594.00000,120.0
243.00833,3550.00000,121.0
245.01667,3542.00000,122.0
247.02500,3584.00000,123.0
249.03333,3662.00000,124.0
251.04167,3735.00000,125.0
253.05000,3829.00000,126.0
255.05833,3932.00000,127.0
257.06667,3994.00000,128.0
259.07500,4032.00000,129.0
261.08333,4033.00000,130.0
263.09167,4005.00000,131.0
265.10000,3930.00000,132.0
267.10833,3835.00000,133.0
269.11667,3711.00000,134.0
271.12500,3665.00000,135.0
273.13333,3662.00000,136.0
275.14167,3704.00000,137.0
277.15000,3766.00000,138.0
279.15833,3847.00000,139.0
281.16667,3936.00000,140.0
283.17500,4042.00000,141.0
285.18333,4110.00000,142.0
287.19167,4140.00000,143.0
289.20000,4136.00000,144.0
291.20833,4101.00000,145.0
293.21667,4006.00000,146.0
295.22500,3904.00000,147.0
297.23333,3780.00000,148.0
299.24167,3732.00000,149.0
301.25000,3724.00000,150.0
303.25833,3772.00000,151.0
305.26667,3847.00000,152.0
307.27500,3922.00000,153.0
309.28333,4014.00000,154.0
311.29167,4117.00000,155.0
313.30000,4181.00000,156.0
315.30833,4220.00000,157.0
317.31667,4208.00000,158.0
319.32500,4160.00000,159.0
321.33333,4074.00000,160.0
323.34167,3967.00000,161.0
325.35000,3834.00000,162.0
327.35833,3789.00000,163.0
329.36667,3790.00000,164.0
331.37500,3836.00000,165.0
333.38333,3909.00000,166.0
335.39167,3986.00000,167.0
