Time [min],Reflectance_590,PulseNumber
2.00833,154.00000,1.0
4.01667,143.00000,2.0
6.02500,138.00000,3.0
8.03333,129.00000,4.0
10.04167,125.00000,5.0
12.05000,118.00000,6.0
14.05833,116.00000,7.0
16.06667,112.00000,8.0
18.07500,111.00000,9.0
20.08333,109.00000,10.0
22.09167,109.00000,11.0
24.10000,109.00000,12.0
26.10833,112.00000,13.0
28.11667,113.00000,14.0
30.12500,117.00000,15.0
32.13333,118.00000,16.0
34.14167,117.00000,17.0
36.15000,117.00000,18.0
38.15833,115.00000,19.0
40.16667,113.00000,20.0
42.17500,110.00000,21.0
44.18333,110.00000,22.0
46.19167,109.00000,23.0
48.20000,106.00000,24.0
50.20833,106.00000,25.0
52.21667,110.00000,26.0
54.22500,110.00000,27.0
56.23333,111.00000,28.0
58.24167,113.00000,29.0
60.25000,116.00000,30.0
62.25833,114.00000,31.0
64.26667,114.00000,32.0
66.27500,115.00000,33.0
68.28333,112.00000,34.0
70.29167,109.00000,35.0
72.30000,107.00000,36.0
74.30833,106.00000,37.0
76.31667,106.00000,38.0
78.32500,108.00000,39.0
80.33333,109.00000,40.0
82.34167,109.00000,41.0
84.35000,112.00000,42.0
86.35833,114.00000,43.0
88.36667,114.00000,44.0
90.37500,114.00000,45.0
92.38333,113.00000,46.0
94.39167,114.00000,47.0
96.40000,110.00000,48.0
98.40833,110.00000,49.0
100.41667,108.00000,50.0
102.42500,107.00000,51.0
104.43333,108.00000,52.0
106.44167,106.00000,53.0
108.45000,108.00000,54.0
110.45833,110.00000,55.0
112.46667,112.00000,56.0
114.47500,112.00000,57.0
116.48333,115.00000,58.0
118.49167,114.00000,59.0
120.50000,114.00000,60.0
122.50833,112.00000,61.0
124.51667,113.00000,62.0
126.52500,108.00000,63.0
128.53333,109.00000,64.0
130.54167,109.00000,65.0
132.55000,108.00000,66.0
134.55833,110.00000,67.0
136.56667,106.00000,68.0
138.57500,108.00000,69.0
140.58333,110.00000,70.0
142.59167,114.00000,71.0
144.60000,114.00000,72.0
146.60833,116.00000,73.0
148.61667,113.00000,74.0
150.62500,113.00000,75.0
152.63333,111.00000,76.0
154.64167,110.00000,77.0
156.65000,108.00000,78.0
158.65833,108.00000,79.0
160.66667,108.00000,80.0
162.67500,107.00000,81.0
164.68333,109.00000,82.0
166.69167,93.00000,83.0
168.70000,95.00000,84.0
170.70833,94.00000,85.0
172.71667,98.00000,86.0
174.72500,97.00000,87.0
176.73333,99.00000,88.0
178.74167,98.00000,89.0
180.75000,98.00000,90.0
182.75833,96.00000,91.0
184.76667,98.00000,92.0
186.77500,96.00000,93.0
188.78333,97.00000,94.0
190.79167,95.00000,95.0
192.80000,97.00000,96.0
194.80833,100.00000,97.0
196.81667,100.00000,98.0
198.82500,106.00000,99.0
200.83333,106.00000,100.0
202.84167,110.00000,101.0
204.85000,108.00000,102.0
206.85833,107.00000,103.0
208.86667,104.00000,104.0
210.87500,102.00000,105.0
212.88333,101.00000,106.0
214.89167,101.00000,107.0
216.90000,98.00000,108.0
218.90833,100.00000,109.0
220.91667,101.00000,110.0
222.92500,105.00000,111.0
224.93333,106.00000,112.0
226.94167,110.00000,113.0
228.95000,112.00000,114.0
230.95833,111.00000,115.0
232.96667,111.00000,116.0
234.97500,108.00000,117.0
236.98333,108.00000,118.0
238.99167,104.00000,119.0
241.00000,104.00000,120.0
243.00833,100.00000,121.0
245.01667,100.00000,122.0
247.02500,100.00000,123.0
249.03333,102.00000,124.0
251.04167,102.00000,125.0
253.05000,109.00000,126.0
255.05833,110.00000,127.0
257.06667,114.00000,128.0
259.07500,115.00000,129.0
261.08333,113.00000,130.0
263.09167,110.00000,131.0
265.10000,106.00000,132.0
267.10833,105.00000,133.0
269.11667,102.00000,134.0
271.12500,102.00000,135.0
273.13333,100.00000,136.0
275.14167,102.00000,137.0
277.15000,101.00000,138.0
279.15833,105.00000,139.0
281.16667,105.00000,140.0
283.17500,113.00000,141.0
285.18333,113.00000,142.0
287.19167,116.00000,143.0
289.20000,113.00000,144.0
291.20833,112.00000,145.0
293.21667,108.00000,146.0
295.22500,104.00000,147.0
297.23333,104.00000,148.0
299.24167,101.00000,149.0
301.25000,102.00000,150.0
303.25833,101.00000,151.0
305.26667,104.00000,152.0
307.27500,104.00000,153.0
309.28333,109.00000,154.0
311.29167,111.00000,155.0
313.30000,114.00000,156.0
315.30833,113.00000,157.0
317.31667,113.00000,158.0
319.32500,108.00000,159.0
321.33333,106.00000,160.0
323.34167,103.00000,161.0
325.35000,103.00000,162.0
327.35833,101.00000,163.0
329.36667,99.00000,164.0
331.37500,102.00000,165.0
333.38333,101.00000,166.0
335.39167,106.00000,167.0
