Time [min],Reflectance_590,PulseNumber
0.33472,860.00000,1.0
0.66943,872.00000,2.0
1.00415,867.00000,3.0
1.33887,872.00000,4.0
1.67358,873.00000,5.0
2.00830,868.00000,6.0
2.34302,870.00000,7.0
2.67773,867.00000,8.0
3.01245,870.00000,9.0
3.34717,873.00000,10.0
3.68188,869.00000,11.0
4.01660,872.00000,12.0
4.35132,861.00000,13.0
4.68603,868.00000,14.0
5.02075,868.00000,15.0
5.35547,865.00000,16.0
5.69018,865.00000,17.0
6.02490,869.00000,18.0
6.35962,863.00000,19.0
6.69433,868.00000,20.0
7.02905,866.00000,21.0
7.36377,864.00000,22.0
7.69848,871.00000,23.0
8.03320,874.00000,24.0
8.36792,864.00000,25.0
8.70263,864.00000,26.0
9.03735,867.00000,27.0
9.37207,866.00000,28.0
9.70678,857.00000,29.0
10.04150,862.00000,30.0
10.37622,856.00000,31.0
10.71093,859.00000,32.0
11.04565,859.00000,33.0
11.38037,862.00000,34.0
11.71508,858.00000,35.0
12.04980,858.00000,36.0
12.38452,860.00000,37.0
12.71923,859.00000,38.0
13.05395,861.00000,39.0
13.38867,862.00000,40.0
13.72338,863.00000,41.0
14.05810,861.00000,42.0
14.39282,860.00000,43.0
14.72753,861.00000,44.0
15.06225,856.00000,45.0
15.39697,861.00000,46.0
15.73168,863.00000,47.0
16.06640,861.00000,48.0
16.40112,862.00000,49.0
16.73583,866.00000,50.0
17.07055,863.00000,51.0
17.40527,865.00000,52.0
17.73998,859.00000,53.0
18.07470,865.00000,54.0
18.40942,864.00000,55.0
18.74413,864.00000,56.0
19.07885,859.00000,57.0
19.41357,862.00000,58.0
19.74828,863.00000,59.0
20.08300,862.00000,60.0
20.41772,864.00000,61.0
20.75243,866.00000,62.0
21.08715,867.00000,63.0
21.42187,862.00000,64.0
21.75658,862.00000,65.0
22.09130,866.00000,66.0
22.42602,864.00000,67.0
22.76073,865.00000,68.0
23.09545,864.00000,69.0
23.43017,866.00000,70.0
