Time [min]   Reflectance_590  PulseNumber 
0.02000      38113.00000      1.0         
0.04000      7656.00000       2.0         
0.06000      7652.00000       3.0         
0.08000      7654.00000       4.0         
0.10000      7646.00000       5.0         
0.12000      7648.00000       6.0         
0.14000      7643.00000       7.0         
0.16000      7652.00000       8.0         
0.18000      7652.00000       9.0         
0.20000      7657.00000       10.0        
0.22000      7655.00000       11.0        
0.24000      7641.00000       12.0        
0.26000      7650.00000       13.0        
0.28000      7657.00000       14.0        
0.30000      7642.00000       15.0        
0.32000      7660.00000       16.0        
0.34000      7652.00000       17.0        
0.36000      7650.00000       18.0        
0.38000      7654.00000       19.0        
0.40000      7640.00000       20.0        
