Time [min],Reflectance_590,PulseNumber
2.00000,10796.00000,1.0
4.00000,10876.00000,2.0
6.00000,10911.00000,3.0
8.00000,10935.00000,4.0
10.00000,10906.00000,5.0
12.00000,10821.00000,6.0
14.00000,10721.00000,7.0
16.00000,10620.00000,8.0
18.00000,10498.00000,9.0
20.00000,10146.00000,10.0
22.00000,9914.00000,11.0
24.00000,9970.00000,12.0
26.00000,10150.00000,13.0
28.00000,10317.00000,14.0
30.00000,10458.00000,15.0
32.00000,10582.00000,16.0
34.00000,10667.00000,17.0
36.00000,10684.00000,18.0
38.00000,10626.00000,19.0
40.00000,10554.00000,20.0
42.00000,10486.00000,21.0
44.00000,10346.00000,22.0
46.00000,10224.00000,23.0
48.00000,9892.00000,24.0
50.00000,9614.00000,25.0
52.00000,9654.00000,26.0
54.00000,9836.00000,27.0
56.00000,10014.00000,28.0
58.00000,10170.00000,29.0
60.00000,10358.00000,30.0
62.00000,10432.00000,31.0
64.00000,10466.00000,32.0
66.00000,10473.00000,33.0
68.00000,10415.00000,34.0
70.00000,10301.00000,35.0
72.00000,10170.00000,36.0
74.00000,10062.00000,37.0
76.00000,9764.00000,38.0
78.00000,9459.00000,39.0
80.00000,9494.00000,40.0
82.00000,9682.00000,41.0
84.00000,9868.00000,42.0
86.00000,10058.00000,43.0
88.00000,10216.00000,44.0
90.00000,10326.00000,45.0
92.00000,10377.00000,46.0
94.00000,10368.00000,47.0
96.00000,10306.00000,48.0
98.00000,10234.00000,49.0
100.00000,10113.00000,50.0
102.00000,9996.00000,51.0
104.00000,9700.00000,52.0
106.00000,9386.00000,53.0
108.00000,9414.00000,54.0
110.00000,9586.00000,55.0
112.00000,9787.00000,56.0
114.00000,9986.00000,57.0
116.00000,10175.00000,58.0
118.00000,10291.00000,59.0
120.00000,10354.00000,60.0
122.00000,10342.00000,61.0
124.00000,10291.00000,62.0
126.00000,10196.00000,63.0
128.00000,10088.00000,64.0
130.00000,9976.00000,65.0
132.00000,9727.00000,66.0
134.00000,9358.00000,67.0
136.00000,9378.00000,68.0
138.00000,9554.00000,69.0
140.00000,9730.00000,70.0
142.00000,9918.00000,71.0
144.00000,10118.00000,72.0
146.00000,10245.00000,73.0
148.00000,10283.00000,74.0
150.00000,10291.00000,75.0
152.00000,10236.00000,76.0
154.00000,10154.00000,77.0
156.00000,10038.00000,78.0
158.00000,9920.00000,79.0
160.00000,9714.00000,80.0
162.00000,9325.00000,81.0
164.00000,9354.00000,82.0
166.00000,9507.00000,83.0
168.00000,9717.00000,84.0
