Time [min]   Reflectance_590  PulseNumber 
2.00000      8457.00000       1.0         
4.00000      8722.00000       2.0         
6.00000      8581.00000       3.0         
8.00000      8335.00000       4.0         
10.00000     7992.00000       5.0         
12.00000     7525.00000       6.0         
14.00000     6911.00000       7.0         
16.00000     6269.00000       8.0         
18.00000     5673.00000       9.0         
20.00000     5262.00000       10.0        
22.00000     5262.00000       11.0        
24.00000     5462.00000       12.0        
26.00000     5766.00000       13.0        
28.00000     6108.00000       14.0        
30.00000     6392.00000       15.0        
32.00000     6726.00000       16.0        
34.00000     7049.00000       17.0        
36.00000     7097.00000       18.0        
38.00000     7010.00000       19.0        
40.00000     6830.00000       20.0        
42.00000     6492.00000       21.0        
44.00000     5977.00000       22.0        
46.00000     5429.00000       23.0        
48.00000     4822.00000       24.0        
50.00000     4669.00000       25.0        
52.00000     4712.00000       26.0        
54.00000     5021.00000       27.0        
56.00000     5370.00000       28.0        
58.00000     5725.00000       29.0        
60.00000     6100.00000       30.0        
62.00000     6498.00000       31.0        
64.00000     6726.00000       32.0        
66.00000     6779.00000       33.0        
68.00000     6684.00000       34.0        
70.00000     6434.00000       35.0        
72.00000     6140.00000       36.0        
74.00000     5617.00000       37.0        
76.00000     5064.00000       38.0        
78.00000     4450.00000       39.0        
80.00000     4434.00000       40.0        
82.00000     4554.00000       41.0        
84.00000     4913.00000       42.0        
86.00000     5295.00000       43.0        
88.00000     5683.00000       44.0        
90.00000     6080.00000       45.0        
92.00000     6480.00000       46.0        
94.00000     6652.00000       47.0        
96.00000     6695.00000       48.0        
98.00000     6556.00000       49.0        
100.00000    6259.00000       50.0        
102.00000    5821.00000       51.0        
104.00000    5313.00000       52.0        
106.00000    4751.00000       53.0        
108.00000    4416.00000       54.0        
110.00000    4461.00000       55.0        
112.00000    4734.00000       56.0        
114.00000    5045.00000       57.0        
116.00000    5373.00000       58.0        
118.00000    5746.00000       59.0        
120.00000    6140.00000       60.0        
122.00000    6492.00000       61.0        
124.00000    6624.00000       62.0        
126.00000    6610.00000       63.0        
128.00000    6464.00000       64.0        
130.00000    6152.00000       65.0        
132.00000    5628.00000       66.0        
134.00000    5134.00000       67.0        
136.00000    4534.00000       68.0        
138.00000    4390.00000       69.0        
140.00000    4457.00000       70.0        
142.00000    4808.00000       71.0        
144.00000    5137.00000       72.0        
146.00000    5489.00000       73.0        
148.00000    5769.00000       74.0        
150.00000    5940.00000       75.0        
152.00000    6090.00000       76.0        
154.00000    6255.00000       77.0        
156.00000    6359.00000       78.0        
158.00000    6452.00000       79.0        
160.00000    6577.00000       80.0        
162.00000    6647.00000       81.0        
164.00000    5629.00000       82.0        
166.00000    3714.00000       83.0        
168.00000    3821.00000       84.0        
170.00000    4106.00000       85.0        
172.00000    4399.00000       86.0        
174.00000    4674.00000       87.0        
176.00000    5131.00000       88.0        
178.00000    5670.00000       89.0        
180.00000    5954.00000       90.0        
182.00000    6018.00000       91.0        
184.00000    5907.00000       92.0        
186.00000    5521.00000       93.0        
188.00000    4909.00000       94.0        
190.00000    4237.00000       95.0        
192.00000    3345.00000       96.0        
194.00000    3246.00000       97.0        
196.00000    3440.00000       98.0        
198.00000    3743.00000       99.0        
200.00000    4166.00000       100.0       
202.00000    4638.00000       101.0       
204.00000    5123.00000       102.0       
206.00000    5644.00000       103.0       
208.00000    6116.00000       104.0       
210.00000    6297.00000       105.0       
212.00000    6270.00000       106.0       
214.00000    6034.00000       107.0       
216.00000    5593.00000       108.0       
218.00000    4894.00000       109.0       
220.00000    4213.00000       110.0       
222.00000    3248.00000       111.0       
224.00000    3394.00000       112.0       
226.00000    3614.00000       113.0       
228.00000    4064.00000       114.0       
230.00000    4497.00000       115.0       
232.00000    4961.00000       116.0       
234.00000    5462.00000       117.0       
236.00000    5981.00000       118.0       
238.00000    6292.00000       119.0       
240.00000    6390.00000       120.0       
242.00000    6266.00000       121.0       
244.00000    5918.00000       122.0       
246.00000    5304.00000       123.0       
248.00000    4593.00000       124.0       
250.00000    3836.00000       125.0       
252.00000    3222.00000       126.0       
254.00000    3537.00000       127.0       
256.00000    3821.00000       128.0       
258.00000    4279.00000       129.0       
260.00000    4660.00000       130.0       
262.00000    5121.00000       131.0       
264.00000    5639.00000       132.0       
266.00000    6169.00000       133.0       
268.00000    6396.00000       134.0       
270.00000    6417.00000       135.0       
272.00000    6230.00000       136.0       
274.00000    5822.00000       137.0       
276.00000    5133.00000       138.0       
278.00000    4422.00000       139.0       
280.00000    3468.00000       140.0       
282.00000    3452.00000       141.0       
284.00000    3648.00000       142.0       
286.00000    4002.00000       143.0       
288.00000    4431.00000       144.0       
290.00000    4887.00000       145.0       
292.00000    5327.00000       146.0       
294.00000    5818.00000       147.0       
296.00000    6202.00000       148.0       
298.00000    6358.00000       149.0       
300.00000    6274.00000       150.0       
302.00000    6074.00000       151.0       
304.00000    5629.00000       152.0       
306.00000    4916.00000       153.0       
308.00000    4193.00000       154.0       
310.00000    3257.00000       155.0       
312.00000    3465.00000       156.0       
314.00000    3678.00000       157.0       
316.00000    4130.00000       158.0       
318.00000    4556.00000       159.0       
320.00000    5011.00000       160.0       
322.00000    5491.00000       161.0       
324.00000    6005.00000       162.0       
326.00000    6290.00000       163.0       
328.00000    6344.00000       164.0       
330.00000    6390.00000       165.0       
