Time [min]   Reflectance_590  PulseNumber 
2.00000      7639.00000       1.0         
4.00000      9244.00000       2.0         
6.00000      9311.00000       3.0         
8.00000      9062.00000       4.0         
10.00000     8695.00000       5.0         
12.00000     8242.00000       6.0         
14.00000     7632.00000       7.0         
16.00000     7038.00000       8.0         
18.00000     6314.00000       9.0         
20.00000     6157.00000       10.0        
22.00000     6240.00000       11.0        
24.00000     6512.00000       12.0        
26.00000     6832.00000       13.0        
28.00000     7121.00000       14.0        
30.00000     7412.00000       15.0        
32.00000     7725.00000       16.0        
34.00000     7842.00000       17.0        
36.00000     7800.00000       18.0        
38.00000     7657.00000       19.0        
40.00000     7363.00000       20.0        
42.00000     6900.00000       21.0        
44.00000     6391.00000       22.0        
46.00000     5822.00000       23.0        
48.00000     5501.00000       24.0        
50.00000     5580.00000       25.0        
52.00000     5836.00000       26.0        
54.00000     6150.00000       27.0        
56.00000     6477.00000       28.0        
58.00000     6812.00000       29.0        
60.00000     7148.00000       30.0        
62.00000     7372.00000       31.0        
64.00000     7439.00000       32.0        
66.00000     7358.00000       33.0        
68.00000     7142.00000       34.0        
70.00000     6793.00000       35.0        
72.00000     6310.00000       36.0        
74.00000     5776.00000       37.0        
76.00000     5260.00000       38.0        
78.00000     5311.00000       39.0        
80.00000     5493.00000       40.0        
82.00000     5818.00000       41.0        
84.00000     6178.00000       42.0        
86.00000     6517.00000       43.0        
88.00000     6878.00000       44.0        
90.00000     7218.00000       45.0        
92.00000     7313.00000       46.0        
94.00000     7275.00000       47.0        
96.00000     7145.00000       48.0        
98.00000     6866.00000       49.0        
100.00000    6377.00000       50.0        
102.00000    5898.00000       51.0        
104.00000    5294.00000       52.0        
106.00000    5228.00000       53.0        
108.00000    5355.00000       54.0        
110.00000    5677.00000       55.0        
112.00000    6022.00000       56.0        
114.00000    6390.00000       57.0        
116.00000    6742.00000       58.0        
118.00000    7097.00000       59.0        
120.00000    7256.00000       60.0        
122.00000    7276.00000       61.0        
124.00000    7156.00000       62.0        
126.00000    6902.00000       63.0        
128.00000    6497.00000       64.0        
130.00000    6035.00000       65.0        
132.00000    5447.00000       66.0        
134.00000    5235.00000       67.0        
136.00000    5342.00000       68.0        
138.00000    5609.00000       69.0        
140.00000    5932.00000       70.0        
142.00000    6270.00000       71.0        
144.00000    6502.00000       72.0        
146.00000    6671.00000       73.0        
148.00000    6844.00000       74.0        
150.00000    6946.00000       75.0        
152.00000    7038.00000       76.0        
154.00000    7124.00000       77.0        
156.00000    7201.00000       78.0        
158.00000    7265.00000       79.0        
160.00000    5693.00000       80.0        
162.00000    4458.00000       81.0        
164.00000    4594.00000       82.0        
166.00000    4836.00000       83.0        
168.00000    5097.00000       84.0        
170.00000    5408.00000       85.0        
172.00000    5816.00000       86.0        
174.00000    6198.00000       87.0        
176.00000    6392.00000       88.0        
178.00000    6384.00000       89.0        
180.00000    6202.00000       90.0        
182.00000    5797.00000       91.0        
184.00000    5200.00000       92.0        
186.00000    4515.00000       93.0        
188.00000    3750.00000       94.0        
190.00000    4038.00000       95.0        
192.00000    4289.00000       96.0        
194.00000    4722.00000       97.0        
196.00000    5153.00000       98.0        
198.00000    5612.00000       99.0        
200.00000    6077.00000       100.0       
202.00000    6557.00000       101.0       
204.00000    6768.00000       102.0       
206.00000    6802.00000       103.0       
208.00000    6626.00000       104.0       
210.00000    6288.00000       105.0       
212.00000    5658.00000       106.0       
214.00000    5004.00000       107.0       
216.00000    4090.00000       108.0       
218.00000    4226.00000       109.0       
220.00000    4430.00000       110.0       
222.00000    4861.00000       111.0       
224.00000    5286.00000       112.0       
226.00000    5730.00000       113.0       
228.00000    6177.00000       114.0       
230.00000    6642.00000       115.0       
232.00000    6876.00000       116.0       
234.00000    6918.00000       117.0       
236.00000    6787.00000       118.0       
238.00000    6463.00000       119.0       
240.00000    5888.00000       120.0       
242.00000    5235.00000       121.0       
244.00000    4352.00000       122.0       
246.00000    4323.00000       123.0       
248.00000    4505.00000       124.0       
250.00000    4878.00000       125.0       
252.00000    5299.00000       126.0       
254.00000    5732.00000       127.0       
256.00000    6154.00000       128.0       
258.00000    6600.00000       129.0       
260.00000    6893.00000       130.0       
262.00000    6969.00000       131.0       
264.00000    6898.00000       132.0       
266.00000    6623.00000       133.0       
268.00000    6094.00000       134.0       
270.00000    5453.00000       135.0       
272.00000    4645.00000       136.0       
274.00000    4229.00000       137.0       
276.00000    4521.00000       138.0       
278.00000    4831.00000       139.0       
280.00000    5234.00000       140.0       
282.00000    5647.00000       141.0       
284.00000    6073.00000       142.0       
286.00000    6490.00000       143.0       
288.00000    6864.00000       144.0       
290.00000    7010.00000       145.0       
292.00000    6986.00000       146.0       
294.00000    6781.00000       147.0       
296.00000    6381.00000       148.0       
298.00000    5738.00000       149.0       
300.00000    5042.00000       150.0       
302.00000    4165.00000       151.0       
304.00000    4409.00000       152.0       
306.00000    4636.00000       153.0       
308.00000    5076.00000       154.0       
310.00000    5508.00000       155.0       
312.00000    5943.00000       156.0       
314.00000    6390.00000       157.0       
316.00000    6850.00000       158.0       
318.00000    7042.00000       159.0       
320.00000    7028.00000       160.0       
322.00000    7098.00000       161.0       
324.00000    7169.00000       162.0       
326.00000    7234.00000       163.0       
328.00000    7306.00000       164.0       
330.00000    7354.00000       165.0       
